순번,가맹점,조식,중식,석식,음식점 종류,네이버 지도 링크
80,재수돈감자탕 강동역점,X,O,O,한식,https://map.naver.com/p/search/%EC%9E%AC%EC%88%98%EB%84%A4%EA%B0%90%EC%9E%90%ED%83%95
81,전통춘천닭갈비,X,O,O,한식,"https://map.naver.com/p/search/%EC%B6%98%EC%B2%9C%EB%8B%AD%EA%B0%88%EB%B9%84/place/37803684?c=15.58,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508121939&locale=ko&svcName=map_pcv5&searchText=%EC%B6%98%EC%B2%9C%EB%8B%AD%EA%B0%88%EB%B9%84"
82,죠스떡볶이(강동역점),X,O,X,분식,https://map.naver.com/p/search/%EC%A3%A0%EC%8A%A4%EB%96%A1%EB%B3%B6%EC%9D%B4%28%EA%B0%95%EB%8F%99%EC%97%AD%EC%A0%90%29
83,청년다방(강동역점),X,O,O,기타,https://map.naver.com/p/search/%EC%B2%AD%EB%85%84%EB%8B%A4%EB%B0%A9%28%EA%B0%95%EB%8F%99%EC%97%AD%EC%A0%90%29
84,칠갑산숯불갈비,X,O,O,한식,https://map.naver.com/p/search/%EC%B9%A0%EA%B0%91%EC%82%B0%EC%88%AF%EB%B6%88%EA%B0%88%EB%B9%84
85,키츠네,X,O,O,기타,https://map.naver.com/p/search/%ED%82%A4%EC%B8%A0%EB%84%A4
86,팬 파스타 8393,X,O,O,양식,https://map.naver.com/p/search/%ED%8C%AC%20%ED%8C%8C%EC%8A%A4%ED%83%80%208393
87,포아이니Pro 강동점,X,O,O,기타,https://map.naver.com/p/search/%ED%8F%AC%EC%95%84%EC%9D%B4%EB%8B%88Pro%20%EA%B0%95%EB%8F%99%EC%A0%90
88,포케올데이(길동사거리점),X,O,X,카페/디저트,https://map.naver.com/p/search/%ED%8F%AC%EC%BC%80%EC%98%AC%EB%8D%B0%EC%9D%B4%28%EA%B8%B8%EB%8F%99%EC%82%AC%EA%B1%B0%EB%A6%AC%EC%A0%90%29
89,프랭크버거(강동역점),X,O,X,기타,https://map.naver.com/p/search/%ED%94%84%EB%9E%AD%ED%81%AC%EB%B2%84%EA%B1%B0%28%EA%B0%95%EB%8F%99%EC%97%AD%EC%A0%90%29
90,한솥도시락(강동성심병원점),X,O,X,기타,https://map.naver.com/p/search/%ED%95%9C%EC%86%A5%EB%8F%84%EC%8B%9C%EB%9D%BD%28%EA%B0%95%EB%8F%99%EC%84%B1%EC%8B%AC%EB%B3%91%EC%9B%90%EC%A0%90%29
91,한양진순대국,X,O,O,한식,https://map.naver.com/p/search/%ED%95%9C%EC%96%91%EC%A7%84%EC%88%9C%EB%8C%80%EA%B5%AD
92,햄찌와베찌(강동점),X,O,X,기타,https://map.naver.com/p/search/%ED%96%84%EC%B0%8C%EC%99%80%EB%B2%A0%EC%B0%8C%28%EA%B0%95%EB%8F%99%EC%A0%90%29
93,홍순우 홍제동순두부우동국수(강동역점),X,O,O,한식,https://map.naver.com/p/search/%ED%99%8D%EC%88%9C%EC%9A%B0%20%ED%99%8D%EC%A0%9C%EB%8F%99%EC%88%9C%EB%91%90%EB%B6%80%EC%9A%B0%EB%8F%99%EA%B5%AD%EC%88%98%28%EA%B0%95%EB%8F%99%EC%97%AD%EC%A0%90%29
94,홍콩,X,O,O,기타,https://map.naver.com/p/search/%ED%99%8D%EC%BD%A9
95,힐링차이나,X,O,O,기타,https://map.naver.com/p/search/%ED%9E%90%EB%A7%81%EC%B0%A8%EC%9D%B4%EB%82%98
96,우리콩 손두부,X,O,O,기타,https://map.naver.com/p/search/%EC%9A%B0%EB%A6%AC%EC%BD%A9%20%EC%86%90%EB%91%90%EB%B6%80
